fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2019-12-31,,225248000000,96334000000,36092000000,55021000000,20497000000,20816000000,190405000000,72705000000,46975000000.0,18803000000,4049000000,14754000000,64288000000,2169000000.0,18929000000,276000000,16314000000,163188000000,87812000000,47183000000,20390000000,14330000000,1307000000,77376000000,17095000000,24820000000,1305000000,23414000000,24820000000,32439000000,12171000000,62060000000,1837000000,31220000000,5000000,498000000
2020-12-31,,321195000000,132733000000,42122000000,84396000000,23795000000,24542000000,148451000000,45014000000,,19998000000,4981000000,15017000000,116207000000,,42274000000,4942000000,22778000000,227791000000,126385000000,72539000000,23208000000,11529000000,16115000000,103306000000,18060000000,33174000000,1155000000,31816000000,33174000000,28023000000,17017000000,93404000000,1837000000,52551000000,5000000,503000000
2021-12-31,,420549000000,161580000000,36220000000,96049000000,32640000000,32891000000,103810000000,160281000000,,20478000000,5107000000,15371000000,127810000000,,59829000000,7391000000,27235000000,282304000000,142266000000,78664000000,28027000000,9574000000,318000000,142238000000,15670000000,50553000000,1491000000,48744000000,50871000000,35852000000,23643000000,138245000000,1837000000,85915000000,106000000,509000000
2022-12-31,,462675000000,146791000000,53888000000,70026000000,34405000000,42360000000,135273000000,186715000000,,26385000000,6097000000,20288000000,72154000000,,16138000000,6158000000,42758000000,316632000000,155393000000,79600000000,32227000000,7396000000,1200000000,164139000000,11386000000,70542000000,2999000000,67150000000,71742000000,47712000000,21121000000,146043000000,7837000000,83193000000,108000000,10242000000
2023-12-31,,527854000000,172351000000,73387000000,86780000000,33318000000,52253000000,159019000000,204177000000,,30476000000,7687000000,22789000000,84312000000,,13393000000,6897000000,56024000000,325979000000,164917000000,84981000000,41527000000,10526000000,147000000,166762000000,10077000000,67182000000,8494000000,58314000000,67329000000,45764000000,25451000000,201875000000,7837000000,113618000000,109000000,10383000000
